date,open,peak,afternoon,,,,
1-Nov-19,1517,3330,3090,,,,
2-Nov-19,1540,2820,3870,,,,
3-Nov-19,1517,3210,3090,,,,
4-Nov-19,1657,3000,2820,,,,
5-Nov-19,1517,3180,2640,,,,
6-Nov-19,1517,2820,2670,,,,
7-Nov-19,1517,3120,2880,,,,
8-Nov-19,1517,3180,2970,,,,
9-Nov-19,1540,4350,3660,,,,
10-Nov-19,1937,3600,3510,,,,
11-Nov-19,1680,3270,3570,,,,
12-Nov-19,1517,3000,2550,,,,
13-Nov-19,1587,2700,2880,,,,
14-Nov-19,1517,3090,2970,,,,
15-Nov-19,1657,2880,2640,,,,
16-Nov-19,1727,2760,,,,,
17-Nov-19,1750,2940,2970,,,,
18-Nov-19,1657,3180,2700,,,,
19-Nov-19,1563,2880,2640,,,,
20-Nov-19,1633,2700,2790,,,,
21-Nov-19,1587,2850,2880,,,,
22-Nov-19,1750,2850,,,,,
23-Nov-19,2287,3450,3660,,,,
24-Nov-19,2007,4140,3930,,,,
25-Nov-19,2753,4770,4950,,,,
26-Nov-19,1937,5640,4230,,,,
27-Nov-19,1517,5730,5400,,,,
28-Nov-19,2077,4230,4170,,,,
29-Nov-19,1820,4590,4890,,,,
30-Nov-19,2613,4470,3420,,,,
